model,replicate,seed,fraction,n_train,r2_coef_determination,pearson_r,pearson_r2,rmse,mae
rf,1,43,0.61,16815,0.7648484192391589,0.876094786993964,0.7675420757979993,4.488225366578977,0.8275542817959026
rf,1,43,0.62,17090,0.7680648466721942,0.8782049627402925,0.7712439565816784,4.457424476117198,0.817466448151206
rf,1,43,0.63,17366,0.775124418737136,0.8829145003048593,0.7795380148485794,4.38906339873072,0.8075648004826709
rf,1,43,0.64,17642,0.7709191129833011,0.8801474856290872,0.7746595964592042,4.429912343185515,0.8196026438289675
rf,1,43,0.65,17917,0.7642313993718524,0.8759598801779951,0.7673057116814475,4.494109890013966,0.8269706638533182
rf,1,43,0.66,18193,0.7688202980809634,0.8787762529906736,0.7722477028203284,4.450159268481457,0.8199109504527398
rf,1,43,0.67,18469,0.7700501279189516,0.8797741583390948,0.7740025696812626,4.438306504663697,0.8161704028720056
rf,1,43,0.68,18744,0.7738341837623942,0.8813759687368994,0.7768235982669078,4.401636625811094,0.811679642610131
rf,1,43,0.69,19020,0.7790852730555418,0.8840320491017511,0.7815126638390409,4.350238212230731,0.8023676168828661
rf,1,43,0.7,19296,0.7713351723174404,0.8794544398015607,0.7734401116866769,4.425887686147604,0.8131583789637769
rf,1,43,0.71,19571,0.7741037419902306,0.8812809782399733,0.7766561626076043,4.399012774130021,0.8062580385670641
rf,1,43,0.72,19847,0.7757734464985502,0.8827642840456034,0.7792727811865467,4.382725044102123,0.8024004906770551
rf,1,43,0.73,20122,0.7753727005838433,0.8820622410261698,0.7780337970441089,4.386639779160078,0.8068607373893527
rf,1,43,0.74,20398,0.7815489003302943,0.8850283801215242,0.7832752336205291,4.325913412142403,0.7941845231171749
rf,1,43,0.75,20674,0.7876120396784747,0.8888193296930428,0.7899998008359899,4.265457820772946,0.7809749060550825
rf,1,43,0.76,20949,0.7890845168825228,0.8906066708069665,0.7931802420858685,4.2506459797146805,0.7838985556861532
rf,1,43,0.77,21225,0.7863209990992912,0.8885419560769249,0.7895068077090079,4.27840237707748,0.7772493219904738
rf,1,43,0.78,21501,0.7901138865034031,0.8909416110731001,0.7937769543415312,4.240260688257306,0.7707244384263418
rf,1,43,0.79,21776,0.797552163618279,0.8954467384892046,0.801824861470954,4.16444637907639,0.7621617448626632
rf,1,43,0.8,22052,0.7871193598072923,0.8889986272399876,0.7903185592345824,4.270402281593322,0.7766397264004443
rf,1,43,0.81,22328,0.7958758906038531,0.8942525143843486,0.7996875594827296,4.181651696092484,0.762442489789206
rf,1,43,0.82,22603,0.7855621090860803,0.8877368463187691,0.788076708311994,4.285993106889671,0.7764934633190564
rf,1,43,0.83,22879,0.790537098383213,0.8903915255854808,0.79279706883444,4.235983525283905,0.7782588697024097
rf,1,43,0.84,23155,0.7850045913963724,0.8874950757541653,0.7876475094878916,4.291561073102594,0.7886905028378574
rf,1,43,0.85,23430,0.7920984364849314,0.8915750214281727,0.7949060188346466,4.220166467922525,0.7768976593922367
rf,1,43,0.86,23706,0.794176645504191,0.893412883904906,0.7981865811272811,4.1990208460114165,0.7672617691144218
rf,1,43,0.87,23982,0.7891398253859989,0.8901379797262057,0.7923456229510509,4.250088618351513,0.7757509205677732
rf,1,43,0.88,24257,0.7980061122221271,0.8958958839415004,0.8026294348633224,4.159774791622674,0.7661955290617518
rf,1,43,0.89,24533,0.793768891082723,0.8926079926712328,0.7967490285805676,4.203178105446078,0.7710434838308483
rf,1,43,0.9,24808,0.7946408587758256,0.8934495062938475,0.7982520202967197,4.194282944599577,0.765227354367471
rf,1,43,0.91,25084,0.7938626749727782,0.8932547448643018,0.7979040392225889,4.20222229615948,0.7692342488245226
rf,1,43,0.92,25360,0.7983138214772278,0.8962638305629334,0.8032888539753426,4.1566051683640906,0.7613945648307154
rf,1,43,0.93,25635,0.7990303290630945,0.8962493635754163,0.8032629217093388,4.149215249584391,0.7600838624993967
rf,1,43,0.94,25911,0.8019741717326054,0.8978475571752847,0.8061302359256263,4.118713885689536,0.7528580675702601
rf,1,43,0.95,26187,0.8000829603633289,0.8972177576098498,0.8049997045704471,4.138334682497239,0.7630705135244792
rf,1,43,0.96,26462,0.7992013141108154,0.8966161532113027,0.8039205261994343,4.147449797291924,0.7598069257565543
rf,1,43,0.97,26738,0.8054447538248415,0.90027532335893,0.810495657849026,4.082462251281131,0.7497676857544988
rf,1,43,0.98,27014,0.7962120609756875,0.8950214896116012,0.8010634668665696,4.178206912756118,0.7546906206651843
rf,1,43,0.99,27289,0.8039570754426113,0.8989118895659314,0.8080425852029932,4.098040923656869,0.7519651825880005
rf,1,43,1.0,27565,0.8042896757113953,0.898911175237476,0.8080413009668203,4.094563144194847,0.7564140051689272
rf,2,44,0.01,276,0.1893087819032485,0.6028129036961031,0.36338339686252724,8.333519172819937,1.7829176179328456
rf,2,44,0.02,551,0.36262128404437743,0.6750255364000385,0.4556594747921597,7.389235076563542,1.6267668221525458
rf,2,44,0.03,827,0.36653671105186436,0.6761701435569463,0.4572060630378213,7.366504022558612,1.519968705755196
rf,2,44,0.04,1103,0.43067258941963504,0.6901089092057705,0.4762503065651784,6.983638515870297,1.4717995584764636
rf,2,44,0.05,1378,0.4796172153120539,0.7255867996982127,0.5264762038962942,6.676704647288697,1.3780401853818536
rf,2,44,0.06,1654,0.5055014988409565,0.723835461295451,0.5239377750287982,6.508534248225056,1.3492829482762163
rf,2,44,0.07,1930,0.4941673225594132,0.7134791076458102,0.5090524370470617,6.582701252381054,1.327860758406882
rf,2,44,0.08,2205,0.5017936695375749,0.7241064292023957,0.5243301208122441,6.532889696577021,1.311735701063355
rf,2,44,0.09,2481,0.5480091100497522,0.755278600830693,0.5704457648727692,6.222509172194767,1.2655018226362704
rf,2,44,0.1,2756,0.549022024668264,0.7597611775203287,0.5772370468670764,6.215532919132371,1.2556373527681493
rf,2,44,0.11,3032,0.5837545168457292,0.7829226177964438,0.6129678254572364,5.971390482622902,1.1856814721283626
rf,2,44,0.12,3308,0.5914006911354339,0.7916928634192925,0.6267775899890384,5.916290882531012,1.1743798321070136
rf,2,44,0.13,3583,0.6108990650232481,0.7999312050909014,0.6398899328781819,5.773402578865717,1.1555749858459914
rf,2,44,0.14,3859,0.6111285739934028,0.7897663944286567,0.6237309577688406,5.771699623396274,1.1553420071118752
rf,2,44,0.15,4135,0.6322069740032934,0.7980875923349976,0.6369438050390733,5.613095737851997,1.1489552598131092
rf,2,44,0.16,4410,0.6393234418666252,0.8005823349394319,0.6409320750170727,5.558526276277572,1.1548536455851364
rf,2,44,0.17,4686,0.6464464606306268,0.8062631408546214,0.650060252300759,5.5033647694419985,1.1412471921576415
rf,2,44,0.18,4962,0.6549111403338694,0.8115122409893321,0.6585521172755278,5.437085648997747,1.0966942014831813
rf,2,44,0.19,5237,0.6545085843298992,0.8127684697593118,0.6605925854348934,5.440255982490718,1.084654985707258
rf,2,44,0.2,5513,0.674488978442874,0.8263683269341987,0.6828846117600267,5.280603432796853,1.0554887120306917
rf,2,44,0.21,5789,0.6751918023223428,0.8268708088487708,0.6837153345262206,5.274899571125714,1.0408981577110143
rf,2,44,0.22,6064,0.6765863965002533,0.828834012470647,0.6869658202281926,5.263563253927084,1.0278719199706732
rf,2,44,0.23,6340,0.6836999744208718,0.832013621831543,0.6922466669132419,5.205354579244748,1.0242300868368923
rf,2,44,0.24,6616,0.6776524349429189,0.8289337513392309,0.6871311641093298,5.254881194425442,1.03223011761419
rf,2,44,0.25,6891,0.6837039613271199,0.8332447403438068,0.694296797310618,5.205321772851426,1.0050529762776363
rf,2,44,0.26,7167,0.7059052813060621,0.8453557487941822,0.7146263420193725,5.019313447527251,0.9854496729582043
rf,2,44,0.27,7443,0.7001788449492654,0.8423441064909798,0.7095435937400871,5.067944394408415,0.9898108211023591
rf,2,44,0.28,7718,0.7079262258984561,0.8456628230258966,0.7151456102481288,5.002037991380503,0.9802319127513693
rf,2,44,0.29,7994,0.718313813558382,0.853415927770164,0.7283187457718097,4.912284141663,0.9566591489247845
rf,2,44,0.3,8270,0.7032959890306414,0.8434532096949325,0.7114133169446838,5.0415306676505365,0.9792841458788397
rf,2,44,0.31,8545,0.7202099630787369,0.8551200108936875,0.7312302330308202,4.8957228875306695,0.9463877753383174
rf,2,44,0.32,8821,0.7276624002357088,0.8582356830604156,0.7365684876781782,4.830082040392408,0.9356670176626937
rf,2,44,0.33,9096,0.7243776859664423,0.8566461513122073,0.7338426285580172,4.8591229931531235,0.9423030328155053
rf,2,44,0.34,9372,0.7324851543616195,0.8617506289754026,0.7426141465395019,4.787123687213651,0.9165534863508894
rf,2,44,0.35,9648,0.725892565163473,0.858385852420228,0.7368262716352015,4.8457512045855236,0.92012407107659
rf,2,44,0.36,9923,0.7343908805235487,0.8623321871235616,0.7436168009493053,4.7700419202074125,0.9216717303437244
rf,2,44,0.37,10199,0.7336349297321632,0.8617656656641903,0.742640062517645,4.77682511145082,0.9173706556583074
