insert_1_id_code,insert_1_ori_code,insert_2_id_code,insert_2_ori_code,insert_3_id_code,insert_3_ori_code,insert_4_id_code,insert_4_ori_code,insert_5_id_code,insert_5_ori_code,avg_Rep
0,0,1,0,2,1,4,0,1,0,0.0090563212327335
0,0,1,0,2,1,7,0,7,0,65.1148846390863
0,0,1,0,3,0,8,0,4,0,0.0121549148091769
0,0,1,0,3,0,8,0,7,0,40.3021022984078
0,0,1,0,3,1,9,0,3,1,0.0607359562652155
0,0,1,0,4,0,0,0,4,1,0.0109948342011605
0,0,1,0,4,0,3,1,0,0,0.0650839383827216
0,0,1,0,4,0,4,0,5,0,0.0258153246248763
0,0,1,0,4,0,5,0,3,1,0.0260218394526294
0,0,1,0,4,1,2,0,4,1,0.0103013858331064
0,0,1,0,4,1,4,1,0,1,0.0178395849704277
0,0,1,0,4,1,4,1,3,0,0.0186979312566523
0,0,1,0,4,1,4,1,9,0,0.0103120227957806
0,0,1,0,4,1,5,1,5,1,0.0197179420339583
0,0,1,0,4,1,7,0,2,1,0.0673095994796653
0,0,1,0,4,1,8,1,1,1,0.0141534922263849
0,0,1,0,5,0,2,1,1,0,0.024857701961545
0,0,1,0,5,0,3,1,5,0,0.0267967095834175
0,0,1,0,5,0,6,1,3,1,0.047636331414788
0,0,1,0,5,0,8,1,7,1,0.956288698842576
0,0,1,0,5,1,5,1,8,1,0.138183912890208
0,0,1,0,5,1,6,0,8,0,0.0160037627585014
0,0,1,0,5,1,10,1,8,0,0.0302631467080782
0,0,1,0,6,1,5,0,4,1,0.011456115591935
0,0,1,0,6,1,10,0,1,1,0.023770135997778
0,0,1,0,7,0,4,0,2,0,0.0720363301253909
0,0,1,0,7,0,6,1,0,0,0.0836239919344743
0,0,1,0,7,1,0,0,10,1,0.338350091087822
0,0,1,0,7,1,1,0,8,0,0.072641172732039
0,0,1,0,7,1,2,1,7,0,46.5475774905903
0,0,1,0,7,1,10,0,4,0,0.0699383339351149
0,0,1,0,8,0,0,0,3,0,0.0215839929573865
0,0,1,0,8,0,0,0,10,0,0.169563270827262
0,0,1,0,8,0,3,1,4,0,0.155430441475771
0,0,1,0,8,0,9,0,4,0,0.0280150432424045
0,0,1,0,8,1,2,0,4,1,0.0151278090893389
0,0,1,0,8,1,3,1,3,1,0.0317628429562096
0,0,1,0,8,1,4,1,8,1,0.747609170577205
0,0,1,0,8,1,8,1,5,0,0.0393867735981205
0,0,1,0,8,1,8,1,5,1,0.180665160136384
0,0,1,0,9,0,1,0,5,0,0.026355511761473
0,0,1,0,9,0,5,0,8,1,0.98652087396081
0,0,1,0,9,1,6,0,8,1,0.318322254171785
0,0,1,0,9,1,8,1,2,0,0.0098083248832069
0,0,1,0,10,0,0,0,2,0,0.0154858850189053
0,0,1,0,10,0,4,0,1,1,0.0062293016502668
0,0,1,0,10,0,4,0,10,0,0.0424921455960148
0,0,1,0,10,0,5,0,10,1,0.123456976003758
0,0,1,0,10,1,0,0,9,1,0.0126224639740979
0,0,1,0,10,1,2,0,3,0,0.0103472788166289
0,0,1,0,10,1,2,1,3,0,0.0180560929979149
0,0,1,0,10,1,4,0,9,0,0.0032662083898398
0,0,1,0,10,1,8,0,1,0,0.0170917983246076
0,0,1,0,10,1,8,1,7,1,0.334185861300544
0,0,1,1,0,0,0,0,3,0,0.0284453319895255
0,0,1,1,0,0,2,0,3,1,0.0640260283551432
0,0,1,1,0,0,6,0,5,1,0.0288733793240823
0,0,1,1,0,0,10,1,7,0,3.07102071291081
0,0,1,1,0,1,1,0,10,1,0.108309367458686
0,0,1,1,0,1,2,1,5,1,0.0429294603682999
0,0,1,1,0,1,5,0,4,0,0.0171971418573906
0,0,1,1,0,1,5,0,4,1,0.038866795410204
0,0,1,1,0,1,5,1,4,1,0.0526851308331036
0,0,1,1,0,1,5,1,8,1,0.174724466665075
0,0,1,1,0,1,7,0,3,1,0.382204199118349
0,0,1,1,0,1,8,1,0,1,0.50961724988822
0,0,1,1,1,1,4,0,1,0,0.0131978213353834
0,0,1,1,1,1,8,1,0,1,0.283124962880675
0,0,1,1,2,0,5,1,10,0,0.0824481434462291
0,0,1,1,2,0,10,1,4,1,0.0148886300812157
0,0,1,1,2,1,0,0,3,1,0.204224905742334
0,0,1,1,2,1,0,1,10,1,0.12833583409711
0,0,1,1,2,1,1,1,10,1,0.0654700616196869
0,0,1,1,2,1,4,0,0,1,0.0058313485327655
0,0,1,1,2,1,5,0,4,0,0.0153028933874081
0,0,1,1,2,1,5,1,4,0,0.129320115397582
0,0,1,1,2,1,7,0,4,1,0.281814655701074
0,0,1,1,3,0,0,0,9,0,0.062535884843336
0,0,1,1,3,0,4,1,0,0,0.011326933731734
0,0,1,1,3,0,5,0,1,0,0.0034543121645048
0,0,1,1,3,0,8,0,5,0,0.0472709215429354
0,0,1,1,3,1,0,1,0,1,0.0838064871064271
0,0,1,1,3,1,0,1,7,0,8.61020225941635
0,0,1,1,3,1,0,1,10,0,0.182898355605124
0,0,1,1,3,1,4,0,0,1,0.0243253009129426
0,0,1,1,3,1,5,0,10,0,0.101980511402372
0,0,1,1,4,0,0,0,0,0,0.0296163496299067
0,0,1,1,4,0,0,0,4,0,0.012077316517195
0,0,1,1,4,0,1,1,3,1,0.100783703330395
0,0,1,1,4,0,8,1,2,0,0.0270594811871475
0,0,1,1,4,0,9,0,9,0,0.0084892015357572
0,0,1,1,4,0,9,1,10,1,0.0593697831812088
0,0,1,1,4,0,10,1,5,0,0.0186589705010094
0,0,1,1,4,1,0,1,3,0,0.0089699154100911
0,0,1,1,4,1,1,0,2,0,0.0039996198635372
0,0,1,1,4,1,4,1,9,0,0.0225593780734324
0,0,1,1,4,1,5,1,0,1,0.0235512681244652
0,0,1,1,4,1,5,1,10,1,0.0568471686793061
0,0,1,1,4,1,7,0,2,0,0.247653645044223
0,0,1,1,4,1,8,1,0,0,9.37714689165037
0,0,1,1,4,1,10,0,3,1,0.0234931791853
0,0,1,1,4,1,10,1,0,0,0.308760329259706
0,0,1,1,5,0,5,0,5,0,0.0310532199530119
0,0,1,1,5,1,4,0,10,0,0.0817195949179369
0,0,1,1,5,1,9,0,4,0,0.0124706164053441
0,0,1,1,5,1,9,0,10,1,0.407736620066635
0,0,1,1,6,0,1,1,5,1,0.007375099071084
0,0,1,1,6,0,5,1,7,1,1.4577981854504
0,0,1,1,6,0,10,1,0,0,0.02527673627306
0,0,1,1,7,0,7,0,1,1,1.71316817554817
0,0,1,1,7,1,0,0,1,1,0.0483836281886924
0,0,1,1,7,1,0,0,10,0,0.373963894969361
0,0,1,1,8,0,0,1,8,1,1.05726497914444
0,0,1,1,8,0,7,1,0,0,0.75769308690405
0,0,1,1,8,1,1,1,7,1,1.07681082911876
0,0,1,1,8,1,3,0,7,0,21.9179656337466
0,0,1,1,8,1,5,1,4,1,0.0314761697048505
0,0,1,1,8,1,5,1,5,1,0.10282009563777
0,0,1,1,8,1,5,1,7,0,54.085940021727
0,0,1,1,8,1,10,1,0,1,0.0814908652503077
0,0,1,1,9,1,1,1,3,0,0.0169875517354681
0,0,1,1,9,1,4,1,7,1,0.577556414436454
0,0,1,1,9,1,10,0,1,1,0.0442544688508239
0,0,1,1,10,0,0,0,5,0,0.0240328817489983
0,0,1,1,10,0,0,1,6,0,0.0537206424626001
0,0,1,1,10,0,4,0,5,1,0.0163226030017094
0,0,1,1,10,0,7,0,3,1,0.616861229025752
